event_key,team_key,opr,qual_ranking,alliance,pick,status,week,state_prov,last_year_norm_epa
2017abca,frc1148,None,25,7,1,eliminated,6,AB,1498.0
2017abca,frc1159,None,49,None,None,None,6,AB,1495.0
2017abca,frc1165,None,38,None,None,None,6,AB,1541.0
2017abca,frc1197,None,9,7,0,eliminated,6,AB,1635.0
2017abca,frc1572,None,21,1,2,eliminated,6,AB,1517.0
2017abca,frc2102,None,5,4,0,finalist,6,AB,1557.0
2017abca,frc2429,None,18,None,None,None,6,AB,1410.0
2017abca,frc2485,None,6,5,0,eliminated,6,AB,1600.0
2017abca,frc2543,None,26,None,None,None,6,AB,1554.0
2017abca,frc2658,None,22,None,None,None,6,AB,1449.0
2017abca,frc2710,None,15,3,2,eliminated,6,AB,None
2017abca,frc2839,None,20,None,None,None,6,AB,1476.0
2017abca,frc3128,None,23,4,1,finalist,6,AB,1553.0
2017abca,frc3255,None,32,8,1,eliminated,6,AB,1660.0
2017abca,frc3328,None,43,None,None,None,6,AB,1477.0
2017abca,frc3473,None,34,None,None,None,6,AB,1551.0
2017abca,frc3512,None,45,None,None,None,6,AB,1569.0
2017abca,frc3647,None,7,2,1,winner,6,AB,1500.0
2017abca,frc3759,None,48,None,None,None,6,AB,1416.0
2017abca,frc3863,None,47,None,None,None,6,AB,1529.0
2017abca,frc4,None,24,5,2,eliminated,6,AB,1570.0
2017abca,frc4201,None,4,3,0,eliminated,6,AB,1636.0
2017abca,frc4322,None,44,None,None,None,6,AB,1587.0
2017abca,frc4414,None,2,1,1,eliminated,6,AB,None
2017abca,frc4415,None,17,8,2,eliminated,6,AB,1518.0
2017abca,frc4481,None,3,2,0,winner,6,AB,1504.0
2017abca,frc4501,None,36,None,None,None,6,AB,1516.0
2017abca,frc498,None,28,4,2,finalist,6,AB,1623.0
2017abca,frc5124,None,40,None,None,None,6,AB,1672.0
2017abca,frc5137,None,11,3,3,eliminated,6,AB,1547.0
2017abca,frc5199,None,10,8,0,eliminated,6,AB,1594.0
